"","x"
"1",1021
"2",575
"3",766
"4",1021
"5",431
"6",766
"7",1021
"8",323
"9",323
"10",431
"11",431
"12",323
"13",323
"14",575
"15",431
"16",431
"17",431
"18",575
"19",575
"20",766
"21",431
"22",1021
"23",323
"24",575
"25",431
"26",323
"27",575
"28",575
"29",766
"30",1021
"31",1021
"32",766
"33",431
"34",575
"35",323
"36",1815
"37",1361
"38",431
"39",1815
"40",1021
"41",431
"42",1021
"43",323
"44",323
"45",323
"46",431
"47",431
"48",1021
"49",323
"50",1361
"51",766
"52",1361
"53",1021
"54",766
"55",431
"56",766
"57",431
"58",431
"59",575
"60",575
"61",323
"62",323
"63",766
"64",323
"65",1361
"66",766
"67",766
"68",575
"69",575
"70",575
"71",1815
"72",1815
"73",431
"74",431
"75",323
"76",1361
"77",431
"78",323
"79",766
"80",323
"81",2420
"82",1021
"83",766
"84",575
"85",431
"86",1021
"87",575
"88",766
"89",1361
"90",1021
"91",323
"92",431
"93",1815
"94",323
"95",766
"96",1361
"97",431
"98",1021
"99",575
"100",766
"101",575
"102",1021
"103",1361
"104",431
"105",575
"106",1361
"107",766
"108",766
"109",431
"110",431
"111",1361
"112",431
"113",323
"114",323
"115",575
"116",575
"117",431
"118",766
"119",766
"120",1021
"121",323
"122",1361
"123",1021
"124",1361
"125",431
"126",1361
"127",1361
"128",323
"129",323
"130",1021
"131",323
"132",431
"133",431
"134",575
"135",766
"136",431
"137",766
"138",766
"139",766
"140",575
"141",431
"142",575
"143",431
"144",431
"145",431
"146",1021
"147",1361
"148",1361
"149",575
"150",575
"151",431
"152",431
"153",1021
"154",431
"155",431
"156",1021
"157",1021
"158",766
"159",323
"160",1361
"161",431
"162",575
"163",575
"164",575
"165",766
"166",323
"167",766
"168",431
"169",431
"170",431
"171",431
"172",766
"173",575
"174",575
"175",2420
"176",766
"177",323
"178",431
"179",1361
"180",1361
"181",323
"182",323
"183",575
"184",431
"185",1815
"186",431
"187",1361
"188",575
"189",1021
"190",1361
"191",1361
"192",575
"193",431
"194",431
"195",766
"196",766
"197",766
"198",431
"199",431
"200",766
"201",575
"202",766
"203",1021
"204",323
"205",431
"206",323
"207",766
"208",431
"209",323
"210",766
"211",766
"212",1361
"213",766
"214",323
"215",1021
"216",1361
"217",1815
"218",766
"219",323
"220",575
"221",575
"222",323
"223",431
"224",575
"225",575
"226",766
"227",431
"228",431
"229",323
"230",431
"231",323
"232",766
"233",1021
"234",431
"235",575
"236",431
"237",766
"238",1021
"239",575
"240",575
"241",1361
"242",431
"243",431
"244",766
"245",575
"246",575
"247",575
"248",575
"249",575
"250",1021
