"","x"
"1",766
"2",1021
"3",1815
"4",1021
"5",766
"6",575
"7",1021
"8",1021
"9",766
"10",1815
"11",1361
"12",431
"13",1021
"14",1021
"15",766
"16",1021
"17",575
"18",1361
"19",766
"20",1021
"21",575
"22",431
"23",766
"24",1361
"25",766
"26",575
"27",1361
"28",1021
"29",1021
"30",766
"31",575
"32",431
"33",1021
"34",766
"35",766
"36",766
"37",575
"38",1361
"39",1361
"40",766
"41",766
"42",575
"43",431
"44",575
"45",575
"46",431
"47",766
"48",1021
"49",1021
"50",766
"51",431
"52",766
"53",1021
"54",431
"55",1021
"56",575
"57",1021
"58",1021
"59",1021
"60",766
"61",766
"62",431
"63",1021
"64",1021
"65",766
"66",1021
"67",575
"68",766
"69",575
"70",431
"71",575
"72",1815
"73",1361
"74",766
"75",766
"76",431
"77",766
"78",1021
"79",766
"80",575
"81",1021
"82",1361
"83",575
"84",766
"85",575
"86",1361
"87",1361
"88",1021
"89",1815
"90",766
"91",766
"92",766
"93",766
"94",766
"95",575
"96",766
"97",1361
"98",575
"99",1815
"100",1021
"101",1021
"102",766
"103",1021
"104",575
"105",575
"106",1021
"107",575
"108",1021
"109",1361
"110",1021
"111",1021
"112",1021
"113",575
"114",766
"115",766
"116",1021
"117",766
"118",1361
"119",1361
"120",575
"121",1021
"122",575
"123",1361
"124",766
"125",431
"126",431
"127",766
"128",1021
"129",575
"130",575
"131",1021
"132",766
"133",431
"134",1021
"135",1815
"136",766
"137",1021
"138",1021
"139",1021
"140",1021
"141",766
"142",575
"143",575
"144",766
"145",575
"146",575
"147",1361
"148",1021
"149",575
"150",1021
"151",575
"152",766
"153",766
"154",575
"155",575
"156",575
"157",766
"158",766
"159",575
"160",766
"161",1021
"162",1021
"163",1021
"164",1021
"165",1021
"166",575
"167",1021
"168",1815
"169",1021
"170",1021
"171",1021
"172",575
"173",766
"174",1361
"175",575
"176",1815
"177",1361
"178",1021
"179",431
"180",1021
"181",766
"182",575
"183",431
"184",575
"185",766
"186",1361
"187",1815
"188",766
"189",766
"190",575
"191",431
"192",431
"193",575
"194",1021
"195",575
"196",575
"197",766
"198",575
"199",766
"200",575
"201",575
"202",766
"203",575
"204",766
"205",575
"206",766
"207",766
"208",1021
"209",2420
"210",575
"211",1815
"212",1021
"213",575
"214",1361
"215",766
"216",1361
"217",766
"218",1815
"219",766
"220",1021
"221",766
"222",1021
"223",1021
"224",575
"225",1361
"226",766
"227",766
"228",575
"229",431
"230",575
"231",1021
"232",575
"233",766
"234",766
"235",1021
"236",1021
"237",766
"238",1361
"239",766
"240",766
"241",575
"242",575
"243",575
"244",766
"245",431
"246",1021
"247",766
"248",1361
"249",1021
"250",575
